SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO
RS,VICE-GOVERNADOR,11,PSIC�LOGA TANISE SABINO,14,PTB
SP,DEPUTADO FEDERAL,5147,NEGO JACKSON,51,PATRIOTA
BA,DEPUTADO FEDERAL,3555,ELIZIO O GORDO,35,PMB
SE,DEPUTADO FEDERAL,4011,ROBSON SANTANA,40,PSB
MG,DEPUTADO ESTADUAL,35234,TATIANA HONORATO,35,PMB
ES,DEPUTADO FEDERAL,1300,JACK ROCHA,13,PT
AP,DEPUTADO FEDERAL,1477,ROBERTO JACARE,14,PTB
SP,DEPUTADO FEDERAL,9077,MAJOR BARRETO,90,PROS
SC,DEPUTADO FEDERAL,7711,MARCOS BOETTCHER CONTADOR,77,SOLIDARIEDADE
SP,DEPUTADO ESTADUAL,77550,BRUNO SUCESSO,77,SOLIDARIEDADE
TO,DEPUTADO FEDERAL,6500,T�IN DE XICA ,65,PC do B
SP,DEPUTADO ESTADUAL,10014,VIVIAN SOARES,10,REPUBLICANOS
RR,DEPUTADO ESTADUAL,55444,ENFERMEIRO YURI,55,PSD
RJ,DEPUTADO FEDERAL,1355,LUCIANA NOVAES,13,PT
PI,DEPUTADO ESTADUAL,22333,DELEGADO LUNA,22,PL
MG,DEPUTADO FEDERAL,1360,DINEY LENON ,13,PT
PR,DEPUTADO FEDERAL,3507,CIDA BIELLA,35,PMB
MG,DEPUTADO ESTADUAL,45222,DALMO RIBEIRO,45,PSDB
GO,DEPUTADO ESTADUAL,65120,CAIO BARBALHO,65,PC do B
MG,DEPUTADO ESTADUAL,14150,MAX LIMA,14,PTB
GO,DEPUTADO ESTADUAL,22333,HUG�O,22,PL
MT,DEPUTADO ESTADUAL,15150,VALTINHO MIOTTO,15,MDB
RS,DEPUTADO ESTADUAL,45555,VIANA,45,PSDB
MA,DEPUTADO ESTADUAL,14678,CLEONICE NUNES,14,PTB
AC,DEPUTADO FEDERAL,5577,CLERTON SOUZA,55,PSD
RN,DEPUTADO FEDERAL,5555,JAC� J�COME,55,PSD
MS,DEPUTADO ESTADUAL,10111,THIAGO TRINDADE,10,REPUBLICANOS
ES,DEPUTADO ESTADUAL,77450,ELI GOMES,77,SOLIDARIEDADE
RS,DEPUTADO ESTADUAL,40020,TATY,40,PSB
SP,DEPUTADO FEDERAL,3348,GL�UCIA ASSUN��O,33,PMN
RJ,DEPUTADO ESTADUAL,22444,DAVI PQD,22,PL
RR,DEPUTADO FEDERAL,4523,THALIA RIBEIRO,45,PSDB
TO,DEPUTADO ESTADUAL,51111,THIAGO PAULINO,51,PATRIOTA
RS,DEPUTADO ESTADUAL,11789,PAI PEDRO DE OXUM,11,PP
DF,DEPUTADO FEDERAL,1077,ADILA MARIA,10,REPUBLICANOS
GO,DEPUTADO ESTADUAL,70100,SARGENTO NOVANDIR,70,AVANTE
GO,DEPUTADO ESTADUAL,12120,DR RAMON,12,PDT
PR,DEPUTADO ESTADUAL,27270,MARCOS DOMBROWSKI,27,DC
MG,DEPUTADO FEDERAL,1264,WALTER GUZMAN,12,PDT
SP,DEPUTADO ESTADUAL,28788,VANDO THOKA,28,PRTB
RJ,DEPUTADO ESTADUAL,29129,FERNANDA FRANCO,29,PCO
SP,DEPUTADO FEDERAL,4453,RAQUEL VIEIRA,44,UNI�O
MT,DEPUTADO ESTADUAL,15015,JANA�NA RIVA,15,MDB
BR,PRESIDENTE,13,LULA,13,PT
SC,DEPUTADO FEDERAL,1155,ITAMAR AGNOLETTO,11,PP
RJ,DEPUTADO ESTADUAL,14246,CORONEL ALTANIR FREITAS,14,PTB
PE,DEPUTADO FEDERAL,4469,WILSINHO MACIEL,44,UNI�O
PR,DEPUTADO ESTADUAL,10900,JO�O CARLOS,10,REPUBLICANOS
PA,DEPUTADO ESTADUAL,12169,PATRICIA MENDON�A,12,PDT
DF,DEPUTADO FEDERAL,1144,WILL GODOY,11,PP
RO,DEPUTADO FEDERAL,7022,WELISON NUNES,70,AVANTE
BA,DEPUTADO FEDERAL,9085,F�BIO MOTA,90,PROS
SP,DEPUTADO ESTADUAL,44234,LUIZ�O,44,UNI�O
AC,DEPUTADO ESTADUAL,90000,RAIMUNDINHO DA SAUDE,90,PROS
RS,DEPUTADO FEDERAL,5133,�VILA KING,51,PATRIOTA
RS,1� SUPLENTE,100,LIZIANE BAYER,10,REPUBLICANOS
SP,DEPUTADO ESTADUAL,19666,RUBINHO CESTARI DA PRAINHA,19,PODE
GO,DEPUTADO FEDERAL,2800,DANIEL CALDEIRA,28,PRTB
PR,DEPUTADO FEDERAL,1345,HAMILTON SERIGHELLI,13,PT
PR,DEPUTADO ESTADUAL,90423,IVO PARAN�,90,PROS
MT,DEPUTADO ESTADUAL,11333,MOACIR COUTO,11,PP
ES,DEPUTADO ESTADUAL,10123,BISPO ALVES,10,REPUBLICANOS
SP,DEPUTADO FEDERAL,5010,GUILHERME BOULOS,50,PSOL
MG,DEPUTADO ESTADUAL,70800,RONALDO COSTA,70,AVANTE
PA,DEPUTADO ESTADUAL,77444,WALMIR SEABRA,77,SOLIDARIEDADE
RJ,DEPUTADO FEDERAL,1526,MIRANDA DOS PROJETOS SOCIAIS,15,MDB
AM,DEPUTADO FEDERAL,2011,ADEMIR ROCHA,20,PSC
DF,DEPUTADO DISTRITAL,22123,AGACIEL MAIA,22,PL
MG,DEPUTADO ESTADUAL,19078,HENRIQUE DA EDUCA��O ,19,PODE
RJ,GOVERNADOR,16,CYRO GARCIA,16,PSTU
SP,DEPUTADO FEDERAL,7079,EMANUEL MOURA,70,AVANTE
PE,DEPUTADO ESTADUAL,33333,IVANILDO PEDRO,33,PMN
MG,DEPUTADO FEDERAL,1876,DR. J�LIO BARROS,18,REDE
CE,DEPUTADO ESTADUAL,14678,LUISINHO LUA,14,PTB
SP,DEPUTADO ESTADUAL,51510,JORNALISTA ROG�RIO SOUZA,51,PATRIOTA
RS,DEPUTADO ESTADUAL,22222,RODRIGO LORENZONI,22,PL
MG,DEPUTADO ESTADUAL,22020,SIDNEI DA FORANIA,22,PL
DF,DEPUTADO DISTRITAL,77456,ANTONIO MENDES,77,SOLIDARIEDADE
PR,DEPUTADO FEDERAL,2005,SONIA SANTOS,20,PSC
AL,GOVERNADOR,50,PROFESSOR CICERO ALBUQUERQUE,50,PSOL
SE,DEPUTADO FEDERAL,1030,ROSA REIS,10,REPUBLICANOS
PR,DEPUTADO ESTADUAL,30050,ELIS DOMINGUES,30,NOVO
DF,DEPUTADO FEDERAL,2077,SARGENTO NAZ�RIO,20,PSC
DF,DEPUTADO DISTRITAL,10099,ELIANE CASTRO,10,REPUBLICANOS
RJ,DEPUTADO FEDERAL,4474,VIVIANE PETISCO,44,UNI�O
MG,DEPUTADO ESTADUAL,40789,NEILANDO PIMENTA,40,PSB
BA,DEPUTADO FEDERAL,2707,PASTOR RUBINHO,27,DC
DF,DEPUTADO DISTRITAL,13023,TUQUINHA BESSA,13,PT
RJ,DEPUTADO ESTADUAL,51331,PROF FRAN�A,51,PATRIOTA
BA,DEPUTADO ESTADUAL,51024,KIRLEY SOBREIRA,51,PATRIOTA
MG,DEPUTADO FEDERAL,1212,DUDA SALABERT,12,PDT
BA,DEPUTADO FEDERAL,1277,JOELMA DE JESUS,12,PDT
RJ,DEPUTADO FEDERAL,3338,EZEQUIEL OLIVEIRA,33,PMN
SE,DEPUTADO ESTADUAL,33100,CARLOS VIL�O,33,PMN
SC,DEPUTADO FEDERAL,1477,POLICIAL FEDERAL EDGAR LOPES,14,PTB
TO,DEPUTADO ESTADUAL,28022,LUIZ CARLOS PRESTES SEIXAS,28,PRTB
RJ,DEPUTADO ESTADUAL,77004,JORGE LUIZ MATIAS,77,SOLIDARIEDADE
AL,DEPUTADO ESTADUAL,10789,ZE ALFREDO,10,REPUBLICANOS
MG,DEPUTADO ESTADUAL,51088,IGOR VICTOR,51,PATRIOTA
MA,DEPUTADO ESTADUAL,50113,CHICO DA COHAB,50,PSOL
BA,DEPUTADO ESTADUAL,27027,O HOMEM DA PASSARELA,27,DC
RO,DEPUTADO ESTADUAL,51197,RIBEIRO DO SINPOL,51,PATRIOTA
RR,2� SUPLENTE,144,HALISSON,14,PTB
RJ,DEPUTADO ESTADUAL,35011,ARISTEU,35,PMB
RS,DEPUTADO ESTADUAL,10123,VAGNER OLIVEIRA,10,REPUBLICANOS
RR,DEPUTADO ESTADUAL,28174,CARLA CRISTINA,28,PRTB
PR,DEPUTADO FEDERAL,6565,MARCIO SANCHES,65,PC do B
MG,DEPUTADO FEDERAL,1348,PALOWA MENDES,13,PT
BA,DEPUTADO ESTADUAL,35222,NANNY,35,PMB
RR,1� SUPLENTE,511,REGINALDO SILVA,51,PATRIOTA
GO,DEPUTADO ESTADUAL,11444,MARCOS CABRAL,11,PP
SP,DEPUTADO FEDERAL,1509,FABIO SATO,15,MDB
RJ,DEPUTADO ESTADUAL,55855,L�VIA OLIVEIRA,55,PSD
MS,DEPUTADO ESTADUAL,77190,EMERSON LINS ,77,SOLIDARIEDADE
PE,DEPUTADO FEDERAL,7030,IRM� LENE,70,AVANTE
SP,DEPUTADO FEDERAL,5051,CIDA FAUSTINO,50,PSOL
PR,DEPUTADO FEDERAL,1236,FABIANO JAMANTA,12,PDT
BA,DEPUTADO ESTADUAL,15170,TICO MOTOTAXI,15,MDB
SC,DEPUTADO ESTADUAL,11123,PEDR�O,11,PP
RJ,DEPUTADO FEDERAL,1220,RIVERTON MUSSI,12,PDT
TO,DEPUTADO ESTADUAL,12321,SANDRA SULINO,12,PDT
SP,DEPUTADO ESTADUAL,50522,CHIRLEY PANKAR�,50,PSOL
SP,DEPUTADO FEDERAL,1923,JAIR BALADA,19,PODE
CE,DEPUTADO ESTADUAL,23000,CLAUDENOR VIEIRA,23,CIDADANIA
AL,DEPUTADO ESTADUAL,11333,FRANCISCO TENORIO,11,PP
ES,DEPUTADO ESTADUAL,43000,PROFESSOR ANT�NIO CESAR,43,PV
SE,DEPUTADO ESTADUAL,23333,MATHEUS CORREA,23,CIDADANIA
DF,DEPUTADO DISTRITAL,35707,RIBAMAR MOREIRA,35,PMB
RJ,DEPUTADO ESTADUAL,23258,JOEL COSTA,23,CIDADANIA
CE,DEPUTADO ESTADUAL,55777,WAGNER CASTRO,55,PSD
MA,DEPUTADO ESTADUAL,15665,PIMENTA COLETIVO ACE E ACS,15,MDB
MS,2� SUPLENTE,133,BRUNO MIGUEIS,13,PT
CE,DEPUTADO ESTADUAL,44144,JULIANA MIRANDA,44,UNI�O
MG,DEPUTADO ESTADUAL,18640,PROFESSOR VESPA ,18,REDE
ES,DEPUTADO FEDERAL,2877,CANTOR HUDSON SANTOS,28,PRTB
SP,DEPUTADO FEDERAL,1134,DR SIN�SIO,11,PP
MG,DEPUTADO FEDERAL,7777,Z� SILVA,77,SOLIDARIEDADE
MG,DEPUTADO FEDERAL,2281,SARGENTO ZAQUEU,22,PL
PR,DEPUTADO ESTADUAL,36888,MAURILIO MARTINS,36,AGIR
RN,DEPUTADO FEDERAL,1311,NAT�LIA BONAVIDES,13,PT
SP,DEPUTADO ESTADUAL,36260,JOS� LIMA DO TRANSPORTE,36,AGIR
RJ,DEPUTADO ESTADUAL,45444,CLAUDINHO BOMBEIRO,45,PSDB
AP,DEPUTADO ESTADUAL,20300,HIDEL REIS,20,PSC
BA,DEPUTADO ESTADUAL,65444,CACIQUE ARU�,65,PC do B
MS,DEPUTADO ESTADUAL,77077,BRUNO ORTIZ,77,SOLIDARIEDADE
DF,DEPUTADO DISTRITAL,44111,VANUSA LOPES,44,UNI�O
RR,DEPUTADO ESTADUAL,18522,PROFESSORA EDITE ANDRADE,18,REDE
BA,DEPUTADO ESTADUAL,33644,KARLA MONTALV�O,33,PMN
AM,DEPUTADO ESTADUAL,51190,SGT EFRAIM,51,PATRIOTA
SP,DEPUTADO ESTADUAL,14457,TENENTE TORRES,14,PTB
MA,DEPUTADO FEDERAL,1920,VALDIMEIRE DA LUZ,19,PODE
GO,DEPUTADO FEDERAL,4433,ELIANE MARIANO,44,UNI�O
RJ,DEPUTADO ESTADUAL,20015,MISS MARLI DRUMOND,20,PSC
BA,DEPUTADO FEDERAL,9077,DEGA DO DANONE,90,PROS
BA,DEPUTADO ESTADUAL,15700,PASTOR FRANCISCO,15,MDB
GO,DEPUTADO FEDERAL,7733,PASTORA SHEILA FONSECA,77,SOLIDARIEDADE
PR,DEPUTADO ESTADUAL,90190,SAMUEL DANTAS,90,PROS
MT,DEPUTADO FEDERAL,6513,DR EDVALDO,65,PC do B
RO,DEPUTADO ESTADUAL,20000,XIR� DO AGRO,20,PSC
SP,DEPUTADO ESTADUAL,30331,ANA PAULA PETILI,30,NOVO
RJ,DEPUTADO ESTADUAL,20190,MARCIO CARNEIRO,20,PSC
AP,DEPUTADO FEDERAL,1523,MADSON,15,MDB
PR,SENADOR,433,ROSANE FERREIRA,43,PV
BA,DEPUTADO FEDERAL,2045,NAY DA BAHIA,20,PSC
CE,DEPUTADO ESTADUAL,10456,EDDLA C�MARA,10,REPUBLICANOS
PR,DEPUTADO ESTADUAL,13500,DR. ANTENOR,13,PT
CE,DEPUTADO ESTADUAL,90901,ROMULO TAVARES,90,PROS
MA,DEPUTADO ESTADUAL,23128,HERBET FLASH,23,CIDADANIA
RS,DEPUTADO ESTADUAL,50450,BETINA,50,PSOL
RN,DEPUTADO ESTADUAL,15333,ANNE MARJORIE,15,MDB
SP,DEPUTADO ESTADUAL,30003,KAIQUE VICENTE,30,NOVO
MA,DEPUTADO FEDERAL,2717,ANA QUILOMBOLA,27,DC
PR,DEPUTADO ESTADUAL,35788,SANDRA OLIVEIRA,35,PMB
BA,DEPUTADO FEDERAL,1939,JOSEANE ALVES,19,PODE
GO,DEPUTADO FEDERAL,7777,LUCAS VERG�LIO,77,SOLIDARIEDADE
PE,DEPUTADO FEDERAL,1944,ANDREZA ROMERO,19,PODE
MG,DEPUTADO FEDERAL,7012,VAV� DE CARA� - DR. HEBER,70,AVANTE
GO,DEPUTADO ESTADUAL,14000,MISAEL OLIVEIRA,14,PTB
BA,DEPUTADO ESTADUAL,22128,GLEICE MARQUES,22,PL
RJ,DEPUTADO ESTADUAL,11777,CARLINHOS BNH,11,PP
BA,DEPUTADO ESTADUAL,70800,VAGNER FEDERAL,70,AVANTE
MG,1� SUPLENTE,555,VIRG�LIO GUIMAR�ES,13,PT
MG,DEPUTADO ESTADUAL,23281,DAYANA ALVES,23,CIDADANIA
MG,DEPUTADO ESTADUAL,19002,SIMONE MOREIRA,19,PODE
PB,DEPUTADO FEDERAL,2882,PASTOR JADER MEDEIROS,28,PRTB
MG,DEPUTADO FEDERAL,1421,JOSI,14,PTB
SP,DEPUTADO ESTADUAL,11334,GCM RUIZ�O,11,PP
ES,DEPUTADO FEDERAL,1100,NEUCIMAR FRAGA,11,PP
PA,DEPUTADO ESTADUAL,45655,DIDI DOS CACHORROS,45,PSDB
DF,DEPUTADO DISTRITAL,35122,CAPIT�O ENES,35,PMB
CE,DEPUTADO ESTADUAL,12127,HELAINE COELHO,12,PDT
RS,DEPUTADO ESTADUAL,40321,COMUNICADOR PAULO RICARDO,40,PSB
BA,DEPUTADO ESTADUAL,20300,PEDRO RAIMUNDO,20,PSC
MG,DEPUTADO ESTADUAL,15155,C�SSIA SANTOS,15,MDB
RS,DEPUTADO FEDERAL,1280,CAPELETTI,12,PDT
PR,DEPUTADO ESTADUAL,22017,DIEGO DIAS,22,PL
SP,DEPUTADO ESTADUAL,28069,PROFESSOR MICHELETTI,28,PRTB
AC,DEPUTADO FEDERAL,2929,MARIA IEDA,29,PCO
SP,DEPUTADO ESTADUAL,28148,ENGENHEIRO CIDO,28,PRTB
RJ,DEPUTADO FEDERAL,1068,CATIA CRUZ,10,REPUBLICANOS
AL,DEPUTADO FEDERAL,4411,SIMONE ANDRADE,44,UNI�O
RS,DEPUTADO ESTADUAL,11227,LUCIANO BARROS,11,PP
RJ,DEPUTADO ESTADUAL,18000,ROBINHO LIBERDADE,18,REDE
SE,DEPUTADO ESTADUAL,44456,VALDIR SANTOS,44,UNI�O
MG,DEPUTADO FEDERAL,1810,ANT�NIO ROBERTO AUDITOR,18,REDE
GO,DEPUTADO FEDERAL,1310,PROFESSOR EDWARD,13,PT
MS,DEPUTADO ESTADUAL,19777,VETERIN�RIO FRANCISCO,19,PODE
MA,VICE-GOVERNADOR,40,FELIPE CAMAR�O,13,PT
MG,DEPUTADO ESTADUAL,30033,JULIANO ESTANISLAU,30,NOVO
PR,DEPUTADO FEDERAL,2772,EDNEIA MARIA,27,DC
RJ,DEPUTADO ESTADUAL,90444,ANTONIO FONSECA,90,PROS
SP,DEPUTADO FEDERAL,7005,PR EDMILSON SANTOS,70,AVANTE
SP,DEPUTADO ESTADUAL,22001,DRA M�NICA BATALHA,22,PL
RR,DEPUTADO FEDERAL,9090,EVERALDO FEDERAL,90,PROS
SP,DEPUTADO ESTADUAL,15557,ANDRE CURI,15,MDB
AM,DEPUTADO FEDERAL,5544,CORONEL GILVANDRO,55,PSD
MA,DEPUTADO FEDERAL,4484,BARBOSA LAGES,44,UNI�O
AC,1� SUPLENTE,400,C�SAR MESSIAS,40,PSB
MG,DEPUTADO ESTADUAL,33030,REGINALDO DA PLASMAR,33,PMN
BA,DEPUTADO FEDERAL,1188,ANNA VAL�RIA,11,PP
AP,DEPUTADO FEDERAL,1955,ERICA SERRA,19,PODE
RS,DEPUTADO ESTADUAL,44045,DR CARLOS CRUZ,44,UNI�O
PE,1� SUPLENTE,130,SILVIO COSTA,10,REPUBLICANOS
PR,DEPUTADO FEDERAL,1550,MERCIA FROEMING RASTELLI,15,MDB
PE,DEPUTADO ESTADUAL,11344,ANUNCIADO VIEIRA ,11,PP
SP,DEPUTADO FEDERAL,1245,DIJAIR,12,PDT
DF,DEPUTADO DISTRITAL,70122,EDUARDO MENDES REI DOS FAR�IS,70,AVANTE
SP,DEPUTADO ESTADUAL,70077,LUCIANO OLIVAN,70,AVANTE
AC,DEPUTADO ESTADUAL,11211,TENENTE JARDIM,11,PP
PA,DEPUTADO ESTADUAL,22224,DILSON PERES,22,PL
MG,DEPUTADO FEDERAL,2234,WALTER TOSTA,22,PL
RJ,DEPUTADO FEDERAL,4323,ADEMIR MARTINS,43,PV
BA,DEPUTADO FEDERAL,7745,PASTOR ARY MENDES,77,SOLIDARIEDADE
AP,DEPUTADO ESTADUAL,19210,PAULO DA ENFERMAGEM,19,PODE
GO,DEPUTADO FEDERAL,1455,PR JOS� FAGUNDES,14,PTB
AP,DEPUTADO ESTADUAL,90090,SAIMON DIAS,90,PROS
RS,DEPUTADO ESTADUAL,65651,BRUNA RODRIGUES,65,PC do B
DF,DEPUTADO DISTRITAL,36789,PAULO ROG�RIO,36,AGIR
GO,DEPUTADO ESTADUAL,45045,RODRIGO ZANI,45,PSDB
SP,DEPUTADO FEDERAL,5188,CORONEL CASTRO,51,PATRIOTA
SP,DEPUTADO FEDERAL,4430,LAIR MOURA,44,UNI�O
SP,DEPUTADO ESTADUAL,36088,DANIELA NOGUEIRA,36,AGIR
SP,DEPUTADO ESTADUAL,44662,PROF. ANGELA DONATIELLO,44,UNI�O
SP,DEPUTADO FEDERAL,9021,NAOMI YAMAGUCHI,90,PROS
PE,DEPUTADO ESTADUAL,77123,LUCIANO DUQUE,77,SOLIDARIEDADE
SC,DEPUTADO ESTADUAL,44477,LUIS OLAVO NANDI,44,UNI�O
TO,DEPUTADO ESTADUAL,40063,FABR�CIO RODRIGUES,40,PSB
RJ,DEPUTADO ESTADUAL,20021,PIERRE REIS,20,PSC
PR,DEPUTADO FEDERAL,1545,JORGE TEODORO,15,MDB
PR,DEPUTADO ESTADUAL,90100,PROF. KLECIUS,90,PROS
MG,DEPUTADO ESTADUAL,30230,DR MAUR�CIO,30,NOVO
RR,DEPUTADO ESTADUAL,55127,JANERSON DO PRIMAVERA,55,PSD
SP,DEPUTADO ESTADUAL,40051,DELEGADO RODA,40,PSB
SC,DEPUTADO FEDERAL,7713,DAY,77,SOLIDARIEDADE
MG,DEPUTADO ESTADUAL,14192,ALEXANDRE DA MATA,14,PTB
RJ,DEPUTADO ESTADUAL,20230,OTACILIO FILHO,20,PSC
MA,DEPUTADO FEDERAL,2266,UMBELINO JUNIOR,22,PL
DF,VICE-GOVERNADOR,27,PASTORA SUELENE,27,DC
PR,DEPUTADO FEDERAL,5520,TAKAYAMA,55,PSD
ES,DEPUTADO FEDERAL,1400,TORINO MARQUES,14,PTB
AL,DEPUTADO ESTADUAL,70222,FOFA BORGES,70,AVANTE
GO,VICE-GOVERNADOR,50,EDSON BRAZ,18,REDE
BA,DEPUTADO ESTADUAL,45999,T�O SENNA,45,PSDB
PE,DEPUTADO ESTADUAL,35180,BET�NIA LINDOLFO,35,PMB
RJ,DEPUTADO FEDERAL,5161,CAPIT�O PAULO SILVA,51,PATRIOTA
RJ,DEPUTADO FEDERAL,5567,DR SADINOEL,55,PSD
MG,DEPUTADO ESTADUAL,33450,EDMAR ALVES,33,PMN
GO,DEPUTADO ESTADUAL,40038,GERALDO MALACABADO,40,PSB
PE,DEPUTADO FEDERAL,7744,INDIO,77,SOLIDARIEDADE
PB,SENADOR,123,ANDRE RIBEIRO,12,PDT
AC,DEPUTADO ESTADUAL,36182,ERLAN,36,AGIR
RJ,DEPUTADO FEDERAL,4006,BIA PONTES,40,PSB
RJ,DEPUTADO ESTADUAL,36223,PAULINHO DAMASCENO,36,AGIR
DF,DEPUTADO DISTRITAL,12300,ZAQUEU BRAGA,12,PDT
CE,DEPUTADO FEDERAL,2023,NANY FRAN�A,20,PSC
PR,DEPUTADO FEDERAL,1316,IVAN COLETIVO PODER POPULAR,13,PT
TO,DEPUTADO ESTADUAL,51003,IRACEMA DA SA�DE,51,PATRIOTA
RN,DEPUTADO ESTADUAL,45999,KLEBER RODRIGUES,45,PSDB
SP,DEPUTADO ESTADUAL,14999,CIDINHO DO PARAISO,14,PTB
SC,DEPUTADO FEDERAL,5573,DANIELLE ANTUNES,55,PSD
RR,DEPUTADO FEDERAL,1212,NARA BORRACHEIRA,12,PDT
RJ,DEPUTADO ESTADUAL,77145,ARTHUR BILL�,77,SOLIDARIEDADE
BA,DEPUTADO ESTADUAL,15752,CARMEN FARDAMENTOS,15,MDB
SC,DEPUTADO FEDERAL,1010,CLAUDINEI MARQUES,10,REPUBLICANOS
MG,DEPUTADO ESTADUAL,55055,HELINHO DA FARMACIA,55,PSD
SE,DEPUTADO FEDERAL,2211,VERONICA DE GILMAR CARVALHO,22,PL
BA,DEPUTADO ESTADUAL,14999,ALEXSANDRA,14,PTB
BA,DEPUTADO FEDERAL,7001,GCM NOGUEIRA,70,AVANTE
MA,DEPUTADO ESTADUAL,20333,RICARDO MURAD,20,PSC
RJ,DEPUTADO ESTADUAL,51171,RAFAEL LOPES,51,PATRIOTA
RJ,DEPUTADO ESTADUAL,90256,DONA KINA,90,PROS
AL,DEPUTADO FEDERAL,3600,THALYS SIMAS,36,AGIR
RJ,DEPUTADO FEDERAL,3310,JEFFERSON SOMBRA,33,PMN
MG,DEPUTADO FEDERAL,5108,ROSE CARVALHO,51,PATRIOTA
CE,DEPUTADO ESTADUAL,33999,QUEIMADURA CAUCAIA,33,PMN
RO,DEPUTADO FEDERAL,7791,SARGENTO RANGEL,77,SOLIDARIEDADE
PA,DEPUTADO ESTADUAL,10147,ROSIVALDO BARBOSA,10,REPUBLICANOS
PA,DEPUTADO ESTADUAL,10000,PIMENTA,10,REPUBLICANOS
MG,DEPUTADO ESTADUAL,10400,ANDRE FERREIRA CAMINHONEIRO,10,REPUBLICANOS
SP,DEPUTADO ESTADUAL,27277,MARCELO PEREIRA,27,DC
MA,DEPUTADO ESTADUAL,51130,SHIRLEY JANE,51,PATRIOTA
PA,DEPUTADO ESTADUAL,13222,MILTON LOBO COLETIVO UNIDADE,13,PT
GO,DEPUTADO FEDERAL,7711,WANDEIR DE OLIVEIRA,77,SOLIDARIEDADE
RS,DEPUTADO FEDERAL,1511,LUCIANE MANFRO,15,MDB
DF,DEPUTADO DISTRITAL,15333,CIRENE IN�CIO,15,MDB
RR,DEPUTADO FEDERAL,5555,Z� HAROLDO CATHEDRAL,55,PSD
CE,DEPUTADO ESTADUAL,50007,CARLA BRATHON,50,PSOL
RJ,DEPUTADO FEDERAL,3311,LUIZINHO SOS HOMEM,33,PMN
SC,DEPUTADO FEDERAL,9022,LEANDRO MACIEL,90,PROS
AM,DEPUTADO ESTADUAL,77700,ZOILA DA EST�TICA,77,SOLIDARIEDADE
RS,DEPUTADO ESTADUAL,12600,MARCUS CUNHA,12,PDT
RS,DEPUTADO ESTADUAL,10810,PROTETOR FELIPE,10,REPUBLICANOS
RJ,DEPUTADO FEDERAL,5564,RACHID,55,PSD
SP,DEPUTADO ESTADUAL,12300,CARLOS TRIGO ,12,PDT
RJ,DEPUTADO FEDERAL,9030,JORGE LUKAS,90,PROS
SP,DEPUTADO FEDERAL,5000,S�MIA BOMFIM,50,PSOL
PA,1� SUPLENTE,160,GALENO,16,PSTU
SP,DEPUTADO FEDERAL,4546,MARINA CORREIA,45,PSDB
MG,DEPUTADO ESTADUAL,33031,PROF JUNINHO BRAIGHI,33,PMN
PR,DEPUTADO FEDERAL,2077,DR PINHEIRO,20,PSC
MG,DEPUTADO ESTADUAL,12000,THIAGO COTA,12,PDT
GO,DEPUTADO ESTADUAL,44145,S�RGIO SANDRE,44,UNI�O
PB,2� SUPLENTE,123,SHISLAINE CABRAL,12,PDT
PE,DEPUTADO ESTADUAL,70112,MANU TORRES,70,AVANTE
AC,DEPUTADO ESTADUAL,77468,PROFESSOR EDILEUDO,77,SOLIDARIEDADE
GO,DEPUTADO ESTADUAL,11159,PASTOR ANTONIO LIMA,11,PP
DF,DEPUTADO DISTRITAL,30061,M�RCIO ANTONELO,30,NOVO
CE,DEPUTADO FEDERAL,5512,LUCIANO MELO,55,PSD
MA,DEPUTADO ESTADUAL,28028,SUZI SILVA,28,PRTB
RN,DEPUTADO FEDERAL,2222,JO�O MAIA,22,PL
RJ,DEPUTADO ESTADUAL,90050,SERGIO DUARTE,90,PROS
RJ,DEPUTADO ESTADUAL,27179,J�LIO DO APLICATIVO,27,DC
SP,DEPUTADO ESTADUAL,50321,BRUNA MULHERES POR + DIREITOS,50,PSOL
RS,DEPUTADO FEDERAL,2044,PAULO ACCINELLI,20,PSC
RJ,DEPUTADO ESTADUAL,10234,LUIZA ZWANG,10,REPUBLICANOS
PB,DEPUTADO FEDERAL,5100,GEISI PATRIOTA,51,PATRIOTA
PR,DEPUTADO FEDERAL,2233,ALEX ZAMBONI,22,PL
SC,DEPUTADO FEDERAL,4569,FABIANO CAITANO,45,PSDB
SP,DEPUTADO ESTADUAL,45019,ISABEL MARCELINO,45,PSDB
SP,DEPUTADO ESTADUAL,19350,DRA MIRIAM,19,PODE
SP,DEPUTADO ESTADUAL,19565,HENRIQUE LOPES,19,PODE
PI,DEPUTADO ESTADUAL,13456,JANAINNA MARQUES,13,PT
PR,DEPUTADO ESTADUAL,10620,JUNIOR SANTOS ROSA,10,REPUBLICANOS
MA,DEPUTADO FEDERAL,4404,CADEIRANTE AGEMIRO,44,UNI�O
RJ,DEPUTADO FEDERAL,3554,ISABEL ACIMO,35,PMB
RJ,DEPUTADO FEDERAL,3577,ZE DA RASA,35,PMB
MA,DEPUTADO ESTADUAL,43777,NUBIA DO HERMES,43,PV
SP,DEPUTADO FEDERAL,3350,MISSION�RIA ELIMARA LOTERIO,33,PMN
CE,DEPUTADO ESTADUAL,40400,LUIZ OCELO,40,PSB
RJ,DEPUTADO FEDERAL,1923,JEAN PIERRE SALLES,19,PODE
