SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO
BA,DEPUTADO FEDERAL,2223,CAPIT�O ANDR� PORCIUNCULA,22,PL
RN,DEPUTADO FEDERAL,4500,MICHAEL BORGES,45,PSDB
MG,DEPUTADO FEDERAL,9038,SARGENTO FELIPE,90,PROS
GO,DEPUTADO ESTADUAL,77190,TENENTE JESUS,77,SOLIDARIEDADE
MA,DEPUTADO ESTADUAL,36006,KESIA RAQUEL,36,AGIR
RS,DEPUTADO ESTADUAL,23789,VICTOR HUGO,23,CIDADANIA
RJ,DEPUTADO ESTADUAL,51001,COMANDANTE PAULO ROBERTO,51,PATRIOTA
AP,DEPUTADO FEDERAL,6545,ELIAS REAL,65,PC do B
TO,DEPUTADO FEDERAL,1400,MILTON NERIS,14,PTB
RJ,DEPUTADO ESTADUAL,19666,AMAURY MORAES,19,PODE
RR,DEPUTADO FEDERAL,4422,PASTORA EDNA,44,UNI�O
SP,DEPUTADO ESTADUAL,35083,WALTER SANDRO,35,PMB
GO,DEPUTADO ESTADUAL,50666,PATRICIA VALENTE,50,PSOL
RJ,DEPUTADO ESTADUAL,28055,MARUZA ABREU,28,PRTB
RO,DEPUTADO ESTADUAL,15500,ROBERTO ALVES,15,MDB
PB,SENADOR,444,EFRAIM FILHO,44,UNI�O
PE,DEPUTADO ESTADUAL,12777,NIVALDO CAVALCANTI,12,PDT
CE,DEPUTADO ESTADUAL,44333,HEITOR F�RRER,44,UNI�O
MG,DEPUTADO ESTADUAL,12007,FILIPE ABRANCHES,12,PDT
AL,DEPUTADO FEDERAL,9033,ADRIANO SANTOS,90,PROS
RS,DEPUTADO FEDERAL,2772,THARLY ALEIXO,27,DC
AM,DEPUTADO ESTADUAL,13610,PRACIANO,13,PT
ES,DEPUTADO FEDERAL,2030,DIANE KARATEKA,20,PSC
MG,DEPUTADO FEDERAL,1569,CARLOS M�RIO,15,MDB
MA,VICE-GOVERNADOR,12,HELIO SOARES,22,PL
MA,DEPUTADO FEDERAL,1622,SILMARA,16,PSTU
RR,DEPUTADO ESTADUAL,35258,ELIANE SANTOS,35,PMB
MG,DEPUTADO FEDERAL,7027,M�NICA DO SEMEANDO AMOR,70,AVANTE
SP,DEPUTADO ESTADUAL,27123,PROFESSOR AHMAD,27,DC
SP,DEPUTADO ESTADUAL,35900,RODRIGO MOLLER,35,PMB
RR,DEPUTADO ESTADUAL,15005,CLEUDE BRITO,15,MDB
SP,DEPUTADO ESTADUAL,44123,G� DO BARDOG�,44,UNI�O
SP,DEPUTADO ESTADUAL,65656,MARCIA QUINTANILHA,65,PC do B
MG,DEPUTADO FEDERAL,9060,ALANDERSON GOMIDE,90,PROS
MG,DEPUTADO ESTADUAL,70114,ALEXANDRE COUTINHO,70,AVANTE
SC,DEPUTADO ESTADUAL,18888,JAIR BARBOSA,18,REDE
SP,DEPUTADO ESTADUAL,14123,GUILHERME ZAFANI,14,PTB
AP,SENADOR,288,SUELI PINI,28,PRTB
SC,DEPUTADO FEDERAL,1540,CLAUDIO ARAG�O,15,MDB
RJ,DEPUTADO FEDERAL,5005,PROFESSORA NATALIA SOARES,50,PSOL
BA,DEPUTADO FEDERAL,5014,CRISLANE CONCEI��O,50,PSOL
DF,DEPUTADO DISTRITAL,30300,DR. GIULIANNO ,30,NOVO
SP,VICE-GOVERNADOR,10,FELICIO RAMUTH,55,PSD
CE,DEPUTADO ESTADUAL,22147,BEBETO ANAST�CIO,22,PL
MA,DEPUTADO FEDERAL,1177,DR. FERNANDO FRAN�A,11,PP
SC,DEPUTADO ESTADUAL,51100,THATI TEIXEIRA,51,PATRIOTA
AL,DEPUTADO FEDERAL,4412,MARCIUS BELTR�O,44,UNI�O
BA,DEPUTADO FEDERAL,1431,ZECA AL�PIO,14,PTB
AM,DEPUTADO ESTADUAL,36103,RAFAELA MARTINS,36,AGIR
MA,DEPUTADO ESTADUAL,36600,NADSON DO OVO,36,AGIR
RJ,DEPUTADO ESTADUAL,70014,XNEGR�O ACIOLI,70,AVANTE
SP,DEPUTADO ESTADUAL,15900,DR MAURO,15,MDB
GO,DEPUTADO FEDERAL,3677,VERA FORMOSA,36,AGIR
SC,DEPUTADO ESTADUAL,55155,GERRI DA CONSOLI,55,PSD
TO,DEPUTADO ESTADUAL,44100,CIRILO DOUGLAS,44,UNI�O
RS,DEPUTADO ESTADUAL,13600,ALBERTO HECK,13,PT
SP,DEPUTADO FEDERAL,4015,RODRIGO AGOSTINHO,40,PSB
GO,DEPUTADO FEDERAL,7778,PROF ELIETE PAIX�O,77,SOLIDARIEDADE
SE,DEPUTADO ESTADUAL,43211,BISPA WALT�RCYA,43,PV
DF,DEPUTADO DISTRITAL,16016,FRANCISCO TARGINO,16,PSTU
TO,DEPUTADO FEDERAL,1577,A ERONSSAYTT,15,MDB
GO,DEPUTADO ESTADUAL,22580,ISRAEL DE GOIAN�POLS,22,PL
DF,DEPUTADO DISTRITAL,30333,LGM,30,NOVO
CE,DEPUTADO FEDERAL,5533,LUIZ GAST�O,55,PSD
RS,DEPUTADO FEDERAL,2288,CLARICE CHIOMENTO MINOZZO,22,PL
MG,DEPUTADO FEDERAL,2813,FERRAZ,28,PRTB
MG,DEPUTADO ESTADUAL,27025,NORTON LINHA DURA,27,DC
RJ,DEPUTADO ESTADUAL,27001,CACAU MARQUES,27,DC
BA,DEPUTADO FEDERAL,3519,ROSE SANTOS,35,PMB
RS,DEPUTADO ESTADUAL,12190,SARGENTO TRINDADE,12,PDT
BA,DEPUTADO FEDERAL,1419,NETO DA KOMBI,14,PTB
MG,DEPUTADO ESTADUAL,77711,ANA DE NOVA LIMA,77,SOLIDARIEDADE
PB,DEPUTADO FEDERAL,2000,P�MELA B�RIO,20,PSC
SC,DEPUTADO ESTADUAL,51456,CLAIR LIMA,51,PATRIOTA
PB,DEPUTADO FEDERAL,1011,HUGO MOTTA,10,REPUBLICANOS
BA,DEPUTADO ESTADUAL,90479,EDNALVA,90,PROS
AC,DEPUTADO ESTADUAL,44888,ALDENORA SALES,44,UNI�O
RO,DEPUTADO ESTADUAL,70500,JEFERSON FRANC,70,AVANTE
TO,DEPUTADO FEDERAL,1055,SARGENTO NATALIA,10,REPUBLICANOS
CE,DEPUTADO FEDERAL,1412,MAURO COSTA,14,PTB
MA,DEPUTADO ESTADUAL,50111,ALMIR DO MERCADO,50,PSOL
RO,DEPUTADO ESTADUAL,77223,JOAO ALENCAR,77,SOLIDARIEDADE
RJ,DEPUTADO ESTADUAL,45560,TICO DA MAR�,45,PSDB
PB,DEPUTADO FEDERAL,4412,DR. DAMI�O,44,UNI�O
PB,DEPUTADO FEDERAL,2021,DRA FRANCIMAR RAMOS,20,PSC
RS,DEPUTADO FEDERAL,4040,DALCISO OLIVEIRA,40,PSB
SP,DEPUTADO ESTADUAL,22190,S�RGIO SANTANA,22,PL
PI,DEPUTADO ESTADUAL,77000,HILDER MON��O,77,SOLIDARIEDADE
SP,DEPUTADO ESTADUAL,28088,MAMBRINI DO PROERD,28,PRTB
SP,DEPUTADO FEDERAL,9012,LITHOLDO,90,PROS
PR,DEPUTADO FEDERAL,3033,ALVARO MORAES,30,NOVO
BA,DEPUTADO ESTADUAL,33999,UILIA DOS SANTOS,33,PMN
MA,DEPUTADO ESTADUAL,13333,CRICIELLE,13,PT
AC,DEPUTADO ESTADUAL,90123,CORONEL BATISTA,90,PROS
PR,DEPUTADO FEDERAL,1812,PROFESSOR ALDAIR RIZZI,18,REDE
RJ,DEPUTADO FEDERAL,3055,LEONARDO VIDAL,30,NOVO
SC,DEPUTADO ESTADUAL,44379,EDILBERTO SANTOS,44,UNI�O
SP,DEPUTADO ESTADUAL,44433,PROFESSOR MARCELO FUSCO,44,UNI�O
RJ,DEPUTADO FEDERAL,1290,CORONEL PAULO AFONSO,12,PDT
CE,DEPUTADO ESTADUAL,45020,EDUARDO JOIA,45,PSDB
RS,DEPUTADO FEDERAL,1422,PROFESSOR WAMBERT DI LORENZO,14,PTB
SP,DEPUTADO FEDERAL,1270,ELZA ALVES,12,PDT
TO,1� SUPLENTE,282,FREED LUSTOSA,28,PRTB
TO,DEPUTADO ESTADUAL,15020,LIVIA MARTINS,15,MDB
RS,DEPUTADO ESTADUAL,28200,TAILA PORTO,28,PRTB
AP,DEPUTADO FEDERAL,4343,ANA GIRLENE,43,PV
AL,DEPUTADO FEDERAL,1218,VALDEMIR OLIVEIRA,12,PDT
MA,DEPUTADO ESTADUAL,11456,DR LEONARDO S�,11,PP
MG,DEPUTADO ESTADUAL,77080,PASTORA ENEDINA,77,SOLIDARIEDADE
RR,DEPUTADO ESTADUAL,33789,PROF JACKSON OLIVEIRA,33,PMN
MG,DEPUTADO FEDERAL,2261,OTACILIO RICARDO,22,PL
SP,DEPUTADO ESTADUAL,90675,LUCIANO BARBOSA,90,PROS
MG,DEPUTADO ESTADUAL,11112,MAYCON JUAN,11,PP
MG,DEPUTADO ESTADUAL,11777,WESLEY AUTO ESCOLA,11,PP
RR,DEPUTADO ESTADUAL,44100,MARIO BROSS,44,UNI�O
MG,DEPUTADO FEDERAL,1999,IGOR TIMO,19,PODE
MT,DEPUTADO ESTADUAL,43003,OSCARLINO ALVES,43,PV
RR,2� SUPLENTE,500,IRMANIO SARMENTO,50,PSOL
PE,DEPUTADO ESTADUAL,10999,ANDREA PAULA,10,REPUBLICANOS
SP,DEPUTADO ESTADUAL,90321,NILD�O,90,PROS
PB,DEPUTADO ESTADUAL,14134,RUTH MAIA,14,PTB
PR,GOVERNADOR,21,VIVI MOTTA,21,PCB
SP,DEPUTADO ESTADUAL,45688,ERIK�O,45,PSDB
PE,DEPUTADO FEDERAL,1444,LARISSA COELHO,14,PTB
PA,DEPUTADO ESTADUAL,90456,LEANDRO SANTOS,90,PROS
PA,DEPUTADO ESTADUAL,23013,DELEGADA ROSAMALENA,23,CIDADANIA
PI,DEPUTADO ESTADUAL,10777,JOAQUIM SARAIVA,10,REPUBLICANOS
SC,SENADOR,161,GILMAR SALGADO,16,PSTU
GO,DEPUTADO ESTADUAL,22400,WILLIAN SERONE,22,PL
MG,DEPUTADO ESTADUAL,13579,LELECO PIMENTEL,13,PT
DF,DEPUTADO DISTRITAL,35777,RONY BARBOSA,35,PMB
AC,DEPUTADO FEDERAL,7733,JESUS SILVA,77,SOLIDARIEDADE
AP,DEPUTADO ESTADUAL,44000,HILDEGARD,44,UNI�O
SP,DEPUTADO FEDERAL,5116,REINALDO MOTA,51,PATRIOTA
RS,DEPUTADO ESTADUAL,10222,DELEGADO ZUCCO,10,REPUBLICANOS
RR,DEPUTADO ESTADUAL,11233,GA�CHO NA FROTEIRA,11,PP
RN,DEPUTADO FEDERAL,1300,ALEXANDRE MOTTA,13,PT
MG,DEPUTADO ESTADUAL,70345,ROSELI HEIDERICK,70,AVANTE
MT,1� SUPLENTE,111,PROFESSORA MARIA LUCIA,65,PC do B
MA,DEPUTADO ESTADUAL,13555,MARINA CABELEREIRA,13,PT
DF,DEPUTADO DISTRITAL,44144,HAMILTON TATU,44,UNI�O
ES,DEPUTADO ESTADUAL,12000,ALEXANDRE QUINTINO,12,PDT
MA,DEPUTADO ESTADUAL,35120,MARILENE RIBEIRO FERREIRA,35,PMB
MG,DEPUTADO ESTADUAL,51151,MAURO SENA,51,PATRIOTA
MG,DEPUTADO ESTADUAL,90720,PR. DANIEL RIBEIRO,90,PROS
SP,DEPUTADO ESTADUAL,12180,NAYLA,12,PDT
PR,DEPUTADO ESTADUAL,50000,GABRIEL,50,PSOL
AC,DEPUTADO ESTADUAL,12190,WALDERLAN LIMA,12,PDT
SP,DEPUTADO FEDERAL,2270,PASTOR MARCO FELICIANO,22,PL
RO,DEPUTADO FEDERAL,9038,SGT FRAGA,90,PROS
RJ,DEPUTADO ESTADUAL,90120,SABINO,90,PROS
MA,DEPUTADO ESTADUAL,50002,ANGELA MARIA,50,PSOL
ES,DEPUTADO ESTADUAL,14190,CORONEL WELITON,14,PTB
PR,DEPUTADO FEDERAL,4499,MAJOR LET�CIA,44,UNI�O
PE,DEPUTADO FEDERAL,2100,ANT�NIO OXIS,21,PCB
SC,DEPUTADO FEDERAL,5525,AGNELO MIRANDA,55,PSD
MG,DEPUTADO FEDERAL,3303,LUIZ DA DESTAK,33,PMN
RN,DEPUTADO ESTADUAL,51222,PEQUENO,51,PATRIOTA
MS,DEPUTADO ESTADUAL,77999,IDEVALDO CLAUDINO ,77,SOLIDARIEDADE
PE,DEPUTADO FEDERAL,1111,EDUARDO DA FONTE,11,PP
SP,DEPUTADO ESTADUAL,35649,VALTER ALC�NTARA ROSSI,35,PMB
PR,DEPUTADO ESTADUAL,36999,BAGIO,36,AGIR
BA,DEPUTADO FEDERAL,1240,LA�SE NERES,12,PDT
AP,DEPUTADO FEDERAL,1900,SANDRA LACERDA,19,PODE
